user,item,item_group,rating
8EzOblo9t562yOY,vgfAkNkq0qlFOhh,3,5.0
lJkfoUeURQwRQzX,vgfAkNkq0qlFOhh,3,5.0
JmYADnKKqtJ0GYi,vgfAkNkq0qlFOhh,3,5.0
YehuD30VL5pIcer,6Ay7eqTEAoIlzLg,13,4.0
In5agUcBmfm9Ut4,6Ay7eqTEAoIlzLg,13,5.0
UgIyTgpZp441rPc,6Ay7eqTEAoIlzLg,13,5.0
jHwrGATwSMYdBEL,FVfoGRzg5mjJamK,13,1.0
aSwaGY19yFIXrzu,FVfoGRzg5mjJamK,13,5.0
YfvBNyFX3izd3F1,FVfoGRzg5mjJamK,13,4.0
1h7BrISvHZlpwJS,aoxyKCA03wtQMdH,44,5.0
FwdvQsFXT6vZVmC,QuCEV3cFDoxse99,18,4.0
pEOVo6VWz83tkoz,gQz4VFpNMdDo5zV,30,4.0
BWaqZYtTPDg6uTa,gQz4VFpNMdDo5zV,30,5.0
aAi1Js7064Ti5js,gQz4VFpNMdDo5zV,30,5.0
WQhLPRnRzn45BMg,gQz4VFpNMdDo5zV,30,5.0
uzyfPgKyg9pOB46,gQz4VFpNMdDo5zV,30,5.0
Chi7lLK5PO9Ucsu,gQz4VFpNMdDo5zV,30,3.0
IbELJygZCB88rXk,gQz4VFpNMdDo5zV,30,4.0
oPw3aj7O0APYGef,gQz4VFpNMdDo5zV,30,5.0
9qVN5tvGuFvSfzc,gQz4VFpNMdDo5zV,30,5.0
2BnCPHdzvNzdfzF,gQz4VFpNMdDo5zV,30,5.0
YBEuKzvneVk6AYv,gQz4VFpNMdDo5zV,30,5.0
yyNIt2n3gAd8yKj,gQz4VFpNMdDo5zV,30,4.0
aSwaGY19yFIXrzu,gQz4VFpNMdDo5zV,30,5.0
rOXZGDhjXPuL62x,gQz4VFpNMdDo5zV,30,5.0
lrc2xrQFEs1FLRu,gQz4VFpNMdDo5zV,30,5.0
UhRrbW9UtZQB9wl,gQz4VFpNMdDo5zV,30,1.0
W5lOzCYf31Ny3Il,gQz4VFpNMdDo5zV,30,5.0
COGr5plFal58PAt,gQz4VFpNMdDo5zV,30,5.0
08riK0hpW7dz7R2,gQz4VFpNMdDo5zV,30,4.0
rD99y38LNyAXtuM,gQz4VFpNMdDo5zV,30,2.0
UuA4wGR1zJZtfrx,gQz4VFpNMdDo5zV,30,5.0
lql7YBzRGXKkumx,gQz4VFpNMdDo5zV,30,5.0
UZsvZIbpjQrDFeK,gQz4VFpNMdDo5zV,30,3.0
JL6xk3aS3bb0cuo,gQz4VFpNMdDo5zV,30,5.0
RyMlAlt8mtXaqhD,gQz4VFpNMdDo5zV,30,5.0
9y8CMj41yihAJgB,gQz4VFpNMdDo5zV,30,5.0
XAn1TyNJjemrtHM,gQz4VFpNMdDo5zV,30,5.0
H3XfuMKiNWyEMJS,gQz4VFpNMdDo5zV,30,4.5
N1sghJ6JZEzUIyS,gQz4VFpNMdDo5zV,30,5.0
pvyRkZUn107KXYv,gQz4VFpNMdDo5zV,30,5.0
HB0z6BYedA8Ss4I,gQz4VFpNMdDo5zV,30,5.0
xAMySUn9dzHusgf,gQz4VFpNMdDo5zV,30,3.0
3HVngVpyCuSK8Ub,gQz4VFpNMdDo5zV,30,2.0
QgALalyVnZTJChP,gQz4VFpNMdDo5zV,30,5.0
wvd8MY2ZbvRrQwj,gQz4VFpNMdDo5zV,30,3.0
h6t61AVjQQn0Mxw,gQz4VFpNMdDo5zV,30,5.0
fsXGSbFzK1bqxki,gQz4VFpNMdDo5zV,30,5.0
FucqR3WghoYgq1E,gQz4VFpNMdDo5zV,30,4.0
erJE9kMOAlnuKCE,wW6aCl497Ij6aQO,0,5.0
ELWCJcXsXfk5W1X,AXBQqw1eXq0OOni,43,5.0
jHW4SS6cBXZM8cy,AXBQqw1eXq0OOni,43,5.0
WJQuSMzMjL9TjBs,AXBQqw1eXq0OOni,43,4.0
nREkvhQVGHL2UZy,AXBQqw1eXq0OOni,43,3.0
oPUrqWQ0Lmuu3UP,cLoOsStWHj2XMW3,40,5.0
UhRrbW9UtZQB9wl,cLoOsStWHj2XMW3,40,4.0
Ku8oCZ99AJdcFfN,Hia6QaJrvdhR1RA,26,5.0
YyyFPrfs0oecwog,DpRuufpIP75guoL,32,5.0
jS8r6qiFiqi5HVW,DpRuufpIP75guoL,32,5.0
4QgeU6fAwq4Fg32,nBnQlILBni9bwvZ,1,3.5
VrKAC48f6FwQl0y,nBnQlILBni9bwvZ,1,3.0
ePTB4jB9NVOcviD,BuM7nsoJJr8xQ6S,14,4.0
vUPEJ999G7spyeq,BuM7nsoJJr8xQ6S,14,5.0
pnVqfKtleiyJLyK,mzUpLA97Qxn1Zj8,38,5.0
it16kX11GWLV1jA,mzUpLA97Qxn1Zj8,38,5.0
ocwk5iBmBUFiNGw,pep84DGRrj5JBmp,10,5.0
RCLtHOJQIYilVgA,rUoysR6p9Qo0J65,3,4.0
08riK0hpW7dz7R2,rUoysR6p9Qo0J65,3,4.0
mMzZvLKyK5v5zbK,rUoysR6p9Qo0J65,3,5.0
IJJMPHP3YH0gk6Z,rUoysR6p9Qo0J65,3,2.0
YrCeBGtofx2AxLu,rUoysR6p9Qo0J65,3,2.0
Kw0QUHWpzCqNrrz,rUoysR6p9Qo0J65,3,5.0
gXO6EaXYHUUghcw,rUoysR6p9Qo0J65,3,5.0
RCLtHOJQIYilVgA,BHsb0Xf366mRHac,3,4.0
08riK0hpW7dz7R2,BHsb0Xf366mRHac,3,4.0
mMzZvLKyK5v5zbK,BHsb0Xf366mRHac,3,5.0
IJJMPHP3YH0gk6Z,BHsb0Xf366mRHac,3,2.0
YrCeBGtofx2AxLu,BHsb0Xf366mRHac,3,2.0
Kw0QUHWpzCqNrrz,BHsb0Xf366mRHac,3,5.0
gXO6EaXYHUUghcw,BHsb0Xf366mRHac,3,5.0
cfhTo032rTtEkLe,optQrm3XVJyJnu6,26,5.0
cwcuAE2k1rbjBtu,VHoPtL0ofwiuKjW,38,5.0
IirwNaWwePIuwhz,VHoPtL0ofwiuKjW,38,2.0
it16kX11GWLV1jA,VHoPtL0ofwiuKjW,38,2.0
pL7O40mrjb6u8bi,VHoPtL0ofwiuKjW,38,5.0
esUthnF34dc1mAf,VHoPtL0ofwiuKjW,38,5.0
JaI14RglXkSqW6K,VHoPtL0ofwiuKjW,38,4.0
DAhc8yV4Raf0FVz,VHoPtL0ofwiuKjW,38,1.0
33ACcYAZLlx9qVX,2B4iF32yRoTpIcV,22,2.0
PXRTQ3bxS80Hbnt,2B4iF32yRoTpIcV,22,3.0
HY1XCLZ1yOZVol2,VZNkWKONiwQWLWg,25,5.0
5b7bW5cUZWX9MMe,VZNkWKONiwQWLWg,25,4.0
TvPBwxaihpSz8dt,VZNkWKONiwQWLWg,25,5.0
XnPW66KTKYqBUSC,YbNG8oVobC5OdaT,28,2.0
o1nVNCwxUhWfJHO,YbNG8oVobC5OdaT,28,4.0
Wd8nLHCBHI6T7lo,YbNG8oVobC5OdaT,28,5.0
7EVqB82HCospMpD,YbNG8oVobC5OdaT,28,5.0
8eUVREBjHYow7IW,YbNG8oVobC5OdaT,28,3.0
yOWL462Hr3fvl4B,YbNG8oVobC5OdaT,28,2.0
oPw3aj7O0APYGef,pIrVUb8GZvcSNTV,33,5.0
2BnCPHdzvNzdfzF,pIrVUb8GZvcSNTV,33,5.0
EtdAUjPmFvsKcSy,pIrVUb8GZvcSNTV,33,5.0
rD99y38LNyAXtuM,pIrVUb8GZvcSNTV,33,5.0
UZsvZIbpjQrDFeK,pIrVUb8GZvcSNTV,33,5.0
b7Qnd5YBAKx4sbY,pIrVUb8GZvcSNTV,33,5.0
j47w6AGmAIuXimD,pIrVUb8GZvcSNTV,33,4.5
N1sghJ6JZEzUIyS,pIrVUb8GZvcSNTV,33,5.0
jT2HdPWwIzRC80b,oKafX2DtIwg4Ale,29,4.0
LzwKLkcXwLJN56U,oKafX2DtIwg4Ale,29,4.0
