user_id,sex,birthday_year,membership_type,category_prefer,joined_date,deleted_date,join_path,os,recommended_cnt
KjIRvUKVTgxGaek,0,1995,300,3,2019-09-09,NaT,,AOS,4
QWhJIG1fOkhUJzG,1,1995,300,2,2020-04-13,NaT,,AOS,1
5UD76uKfYNPTliG,1,1999,300,4,2018-12-18,NaT,,AOS,6
lfpxRIsbmmt6mUQ,0,1998,300,7,2019-01-16,NaT,,AOS,2
djGLdEHvJy17TDX,1,1999,300,6,2019-11-06,NaT,,AOS,2
qTDYzF4LqurtJVN,0,1995,300,1,2020-09-26,NaT,,AOS,0
zF8nYT0W1pOVGzk,1,1994,300,4,2020-01-22,NaT,,AOS,1
44En639T1Kutofz,1,1996,400,0,2020-03-17,NaT,,AOS,0
47HL5DBRPs85YSw,0,1995,500,5,2018-09-20,NaT,,IOS,1
VHzrNWEJRr555Mp,0,1999,300,5,2016-06-03,NaT,,IOS,5
wix4HWTV6vwauMV,0,1999,300,10,2017-10-30,NaT,,AOS,7
uYEktPe6dXlO0U4,1,1994,300,7,2017-09-27,NaT,,IOS,4
BnPqSPXCIZtyHAr,0,1995,500,5,2018-05-19,NaT,,AOS,2
2UvwvYtjzBt7yCj,0,1994,300,1,2020-01-09,NaT,,AOS,1
ErxEpQISpSdYVpE,1,1995,400,6,2019-05-14,NaT,,IOS,4
7SYGVPhviiUAENh,0,1994,300,3,2020-09-03,NaT,,IOS,0
Ws3ZkNKWPbaNa8Y,1,1997,300,2,2016-10-19,NaT,,AOS,3
rQDBxgda0rRHbD3,0,1994,300,3,2019-04-10,NaT,,IOS,3
8n6QmYdjrxW2GBq,1,1996,300,6,2018-05-18,NaT,,AOS,3
CFTSRJ3LcHNbfJ9,1,2000,500,12,2020-11-16,NaT,,IOS,3
Yrj3KQvckkUBVnL,0,1996,400,4,2018-01-10,NaT,,IOS,5
4SVrP3boKlJqbS6,1,1996,300,2,2019-03-15,NaT,,IOS,4
4VmcPoWkSwZzX2R,1,1997,300,5,2018-08-22,NaT,1,AOS,2
18Bc8bBq9YlmnJV,0,1995,300,3,2019-10-14,NaT,,IOS,2
ss1Ce2cuVgu9dop,0,1997,300,5,2019-03-26,NaT,,AOS,3
yVsVyY7ymmwo9B9,1,2000,300,5,2020-05-20,NaT,,IOS,4
geHiz8SUa91lNcp,0,1996,400,4,2020-06-13,NaT,,AOS,4
rmL71oAaMyszmj6,0,1995,300,5,2020-10-28,NaT,,IOS,4
FHRTj9rFa51PTSC,1,1995,300,3,2017-11-07,NaT,,AOS,0
EhPV68FlDkwWe24,0,1997,300,5,2017-02-13,NaT,,AOS,2
j00aLrIgJ1pZNYl,1,1997,300,9,2019-04-14,NaT,,AOS,2
5vO1o1ygm4zobgE,0,2000,300,9,2018-09-29,NaT,,AOS,3
JJ2ynSdLgMHbngZ,1,1996,300,4,2020-10-12,NaT,,IOS,2
e2VMuKZkFN9mIWL,0,1997,300,9,2018-06-09,NaT,1,IOS,2
X72TQfrfDZD02e3,0,1997,400,6,2018-06-22,NaT,,IOS,2
0LWOOOQ6vpTCLxz,1,1993,500,3,2020-02-01,NaT,1,IOS,2
yHTWm1xO1j1atLG,1,1998,500,7,2019-12-31,NaT,,IOS,3
Ul9mpYLVB9dLFku,1,1997,500,10,2020-11-30,NaT,,IOS,0
MJy5xrlFOoQD9PL,1,1995,300,4,2019-05-15,NaT,,AOS,1
1VLdSo4aPReXSLK,1,1993,500,5,2019-12-22,NaT,,AOS,1
LZj097i7B1dTRBj,0,1998,300,2,2019-10-26,NaT,,IOS,2
RaZcT7w0VObLNkP,0,1998,500,6,2020-02-23,NaT,,AOS,1
pWXEZFGYflxGgGf,0,1997,300,5,2019-09-18,NaT,1,IOS,3
uwlSi1JXJhUF2pW,1,1996,300,11,2018-12-19,NaT,,AOS,2
o3kfxOLTvdYHVba,1,1994,300,4,2018-09-23,NaT,1,AOS,1
AvHtck7GjVKJwb6,0,1995,300,7,2019-07-26,NaT,,IOS,0
N1XXPDHW1MBeAJg,1,1997,300,10,2018-10-01,NaT,,IOS,3
vkkTGUjCFeDCclu,1,1996,400,5,2017-10-01,NaT,,AOS,3
N88xAWbI7PHoD8z,0,1999,300,11,2018-08-17,NaT,,IOS,4
woSTcY0L91ALTpe,0,2000,500,7,2020-01-19,NaT,,AOS,2
65AvGJClBHkIIeS,1,2003,300,9,2019-01-05,NaT,,IOS,5
mb579LqvyIl3O3N,0,1995,300,9,2016-01-23,NaT,,AOS,3
amAFPP1QnpkpLlq,0,1993,300,6,2019-09-15,NaT,,AOS,2
Qze8vBbefoG75rc,1,1997,300,5,2018-05-13,NaT,,AOS,3
v89pG24NCy77YXd,1,1999,300,7,2017-11-17,NaT,,IOS,2
DfXaazqPWY4Evl8,1,1994,300,4,2020-02-05,NaT,,IOS,2
u4zq5UBO57DEVro,0,1995,400,3,2018-10-06,NaT,,AOS,4
khWR79et5ZHKDHa,0,1998,500,5,2018-12-14,NaT,,IOS,4
bpqo3NC22R0TjNm,0,1997,300,8,2020-06-29,NaT,,AOS,3
khjKlk4jX0t4NVT,0,1998,400,1,2017-08-29,NaT,,AOS,3
XOI0tYVjGkrsPx2,0,1998,300,3,2018-05-27,NaT,,IOS,3
sDlzIpr5woNgyUo,0,2000,300,6,2020-01-04,NaT,,AOS,4
tM5pIGr6UcgEBd0,1,1993,300,3,2019-12-22,NaT,,AOS,2
zNZrG3aSF9KWU9R,1,1998,300,7,2020-07-16,NaT,,AOS,2
zaGcjFl13hOT153,1,1999,300,7,2019-05-16,NaT,,IOS,1
gZU3pldLKjHff2r,0,1996,300,5,2020-07-09,NaT,,IOS,3
irpFn6sK0krMpJJ,0,1995,300,6,2019-05-01,NaT,,AOS,0
Nh0AYoAsTSYr2h4,1,1996,300,9,2020-01-14,NaT,,AOS,4
SYQtzs79TnvlTfL,0,1996,300,2,2018-01-08,NaT,,IOS,5
7ZOngAVcoQX5oyv,1,1998,300,5,2017-02-18,NaT,,AOS,5
sTUWklJT4FTRoPe,1,1993,500,0,2019-01-27,NaT,1,AOS,0
qZUll3CRG9ZkmnZ,1,1996,300,7,2019-03-05,NaT,,IOS,4
Z30mQdjJlJbu5JS,1,1995,300,5,2019-03-08,NaT,,AOS,3
AH5CCtnyZH2pA7F,0,1994,300,3,2019-01-26,NaT,,AOS,2
7G4UzA1blPr8urc,0,2000,300,8,2016-12-19,NaT,,IOS,2
MsyQnX6aJVdyI6P,0,1999,300,9,2019-09-17,NaT,,AOS,1
PwB1wWp9plz0ES7,1,1997,300,8,2019-08-24,NaT,,IOS,2
O8p10Ry3If512mD,0,1993,300,5,2019-12-31,NaT,,IOS,0
AG5ih2o7PgClRyV,1,1995,300,13,2020-06-05,NaT,,AOS,0
nt3BfRq7YjYwHHF,1,1997,300,10,2019-06-27,NaT,,AOS,4
