,user_id,sex,birthday_year,membership_type,category_prefer,joined_date,deleted_date,join_path,os,recommended_cnt,age,days_from_joined,years_from_joined,if_deleted,label_from_km
0,KjIRvUKVTgxGaek,0,1995,300,3,2019-09-09,NaT,0.0,AOS,4,27,480,1.3,0,0
1,QWhJIG1fOkhUJzG,1,1995,300,2,2020-04-13,NaT,0.0,AOS,1,27,263,0.7,0,0
2,5UD76uKfYNPTliG,1,1999,300,4,2018-12-18,NaT,0.0,AOS,6,23,745,2.0,0,0
3,lfpxRIsbmmt6mUQ,0,1998,300,7,2019-01-16,NaT,0.0,AOS,2,24,716,2.0,0,0
4,djGLdEHvJy17TDX,1,1999,300,6,2019-11-06,NaT,0.0,AOS,2,23,422,1.2,0,0
5,qTDYzF4LqurtJVN,0,1995,300,1,2020-09-26,NaT,0.0,AOS,0,27,97,0.3,0,0
6,zF8nYT0W1pOVGzk,1,1994,300,4,2020-01-22,NaT,0.0,AOS,1,28,345,0.9,0,0
7,44En639T1Kutofz,1,1996,400,0,2020-03-17,NaT,0.0,AOS,0,26,290,0.8,0,0
8,47HL5DBRPs85YSw,0,1995,500,5,2018-09-20,NaT,0.0,IOS,1,27,834,2.3,0,1
9,VHzrNWEJRr555Mp,0,1999,300,5,2016-06-03,NaT,0.0,IOS,5,23,1673,4.6,0,1
10,wix4HWTV6vwauMV,0,1999,300,10,2017-10-30,NaT,0.0,AOS,7,23,1159,3.2,0,1
11,uYEktPe6dXlO0U4,1,1994,300,7,2017-09-27,NaT,0.0,IOS,4,28,1192,3.3,0,1
12,BnPqSPXCIZtyHAr,0,1995,500,5,2018-05-19,NaT,0.0,AOS,2,27,958,2.6,0,1
13,2UvwvYtjzBt7yCj,0,1994,300,1,2020-01-09,NaT,0.0,AOS,1,28,358,1.0,0,0
14,ErxEpQISpSdYVpE,1,1995,400,6,2019-05-14,NaT,0.0,IOS,4,27,598,1.6,0,0
15,7SYGVPhviiUAENh,0,1994,300,3,2020-09-03,NaT,0.0,IOS,0,28,120,0.3,0,0
16,Ws3ZkNKWPbaNa8Y,1,1997,300,2,2016-10-19,NaT,0.0,AOS,3,25,1535,4.2,0,1
17,rQDBxgda0rRHbD3,0,1994,300,3,2019-04-10,NaT,0.0,IOS,3,28,632,1.7,0,0
18,8n6QmYdjrxW2GBq,1,1996,300,6,2018-05-18,NaT,0.0,AOS,3,26,959,2.6,0,1
19,CFTSRJ3LcHNbfJ9,1,2000,500,12,2020-11-16,NaT,0.0,IOS,3,22,46,0.1,0,0
20,Yrj3KQvckkUBVnL,0,1996,400,4,2018-01-10,NaT,0.0,IOS,5,26,1087,3.0,0,1
21,4SVrP3boKlJqbS6,1,1996,300,2,2019-03-15,NaT,0.0,IOS,4,26,658,1.8,0,0
22,4VmcPoWkSwZzX2R,1,1997,300,5,2018-08-22,NaT,1.0,AOS,2,25,863,2.4,0,1
23,18Bc8bBq9YlmnJV,0,1995,300,3,2019-10-14,NaT,0.0,IOS,2,27,445,1.2,0,0
24,ss1Ce2cuVgu9dop,0,1997,300,5,2019-03-26,NaT,0.0,AOS,3,25,647,1.8,0,0
25,yVsVyY7ymmwo9B9,1,2000,300,5,2020-05-20,NaT,0.0,IOS,4,22,226,0.6,0,0
26,geHiz8SUa91lNcp,0,1996,400,4,2020-06-13,NaT,0.0,AOS,4,26,202,0.6,0,0
27,rmL71oAaMyszmj6,0,1995,300,5,2020-10-28,NaT,0.0,IOS,4,27,65,0.2,0,0
28,FHRTj9rFa51PTSC,1,1995,300,3,2017-11-07,NaT,0.0,AOS,0,27,1151,3.2,0,1
29,EhPV68FlDkwWe24,0,1997,300,5,2017-02-13,NaT,0.0,AOS,2,25,1418,3.9,0,1
30,j00aLrIgJ1pZNYl,1,1997,300,9,2019-04-14,NaT,0.0,AOS,2,25,628,1.7,0,0
31,5vO1o1ygm4zobgE,0,2000,300,9,2018-09-29,NaT,0.0,AOS,3,22,825,2.3,0,0
32,JJ2ynSdLgMHbngZ,1,1996,300,4,2020-10-12,NaT,0.0,IOS,2,26,81,0.2,0,0
