,user_id,membership_type,total_order_cnt,total_cost,avg_coupon_amt,avg_point_amt,weekly_order_cnt,monthly_order_cnt,avg_cost,avg_item_cost,last_date,days_of_recency,R_score,F_score,M_score,km_label
0,q3qlSo1pvyacJoy,100,1.0,23800.0,0.0,0.0,1.0,1.0,23800.0,0.0,2020-04-05,96,3,1,1,4
1,JRy7QRK0UMFP81X,100,1.0,23000.0,0.0,0.0,1.0,1.0,23000.0,10000.0,2020-01-17,17,1,1,1,0
2,Z0IzeePX3LwQ2Ea,100,1.0,24000.0,0.0,0.0,1.0,1.0,24000.0,24000.0,2020-05-15,136,4,1,1,4
3,EoRzAGlei59fugN,100,1.0,22000.0,-5000.0,0.0,1.0,1.0,22000.0,14000.0,2020-03-02,62,2,1,1,0
4,zgQJlOYlFURl6ev,300,19.0,561200.0,0.0,0.0,2.375,4.75,29536.84,24615.79,2020-06-23,175,4,2,3,2
5,nal5muXdo7PEneo,100,1.0,22500.0,0.0,0.0,1.0,1.0,22500.0,16000.0,2020-04-20,111,3,1,1,4
6,PRGJ2EIUj9UJp1h,100,2.0,17000.0,0.0,0.0,1.0,1.0,8500.0,0.0,2020-03-17,77,2,1,1,0
7,rLEopFnsXPchlRu,100,2.0,43000.0,-2500.0,0.0,1.0,1.0,21500.0,8000.0,2020-03-10,70,2,1,2,3
8,dwom0IHuhIrHVS2,100,1.0,47000.0,0.0,0.0,1.0,1.0,47000.0,45000.0,2020-01-08,8,1,1,2,3
9,IS7qNtCS8XWmmpi,100,1.0,43000.0,0.0,0.0,1.0,1.0,43000.0,36000.0,2020-01-17,17,1,1,2,3
10,MJy5xrlFOoQD9PL,100,1.0,22000.0,0.0,0.0,1.0,1.0,22000.0,16000.0,2020-02-11,42,2,1,1,0
11,5wsMnZNYE16bBCX,300,18.0,1112150.0,0.0,0.0,2.0,3.6,61786.11,0.0,2020-06-23,175,4,2,4,2
12,0MGC5p5wUXlSD3G,100,1.0,26000.0,0.0,0.0,1.0,1.0,26000.0,0.0,2020-02-08,39,2,1,1,0
13,TuAn77tF2BfsxR2,100,1.0,24500.0,0.0,0.0,1.0,1.0,24500.0,17000.0,2020-01-05,5,1,1,1,0
14,DBdlLrJXIHiuowx,300,5.0,199700.0,-1000.0,0.0,1.0,1.25,39940.0,13880.0,2020-06-14,166,4,1,3,2
15,bAV05b0uROypnNd,100,1.0,28500.0,0.0,0.0,1.0,1.0,28500.0,12000.0,2020-04-20,111,3,1,1,4
16,KIEpxpmjQePwSAM,100,1.0,26500.0,0.0,0.0,1.0,1.0,26500.0,19000.0,2020-02-12,43,2,1,1,0
17,uEujqEKEKCDlPBL,100,1.0,16500.0,0.0,0.0,1.0,1.0,16500.0,0.0,2020-01-23,23,1,1,1,0
18,XIdKs0zJAYtpT3k,100,1.0,41000.0,0.0,0.0,1.0,1.0,41000.0,33000.0,2020-02-24,55,2,1,2,3
