user_id,membership_type,total_order_cnt,total_cost,avg_coupon_amt,avg_point_amt,weekly_order_cnt,monthly_order_cnt,avg_cost,avg_item_cost,last_date
q3qlSo1pvyacJoy,100,1.0,23800.0,0.0,0.0,1.0,1.0,23800.0,0.0,2020-04-05
JRy7QRK0UMFP81X,100,1.0,23000.0,0.0,0.0,1.0,1.0,23000.0,10000.0,2020-01-17
Z0IzeePX3LwQ2Ea,100,1.0,24000.0,0.0,0.0,1.0,1.0,24000.0,24000.0,2020-05-15
EoRzAGlei59fugN,100,1.0,22000.0,-5000.0,0.0,1.0,1.0,22000.0,14000.0,2020-03-02
zgQJlOYlFURl6ev,300,19.0,561200.0,0.0,0.0,2.375,4.75,29536.84,24615.79,2020-06-23
nal5muXdo7PEneo,100,1.0,22500.0,0.0,0.0,1.0,1.0,22500.0,16000.0,2020-04-20
PRGJ2EIUj9UJp1h,100,2.0,17000.0,0.0,0.0,1.0,1.0,8500.0,0.0,2020-03-17
rLEopFnsXPchlRu,100,2.0,43000.0,-2500.0,0.0,1.0,1.0,21500.0,8000.0,2020-03-10
dwom0IHuhIrHVS2,100,1.0,47000.0,0.0,0.0,1.0,1.0,47000.0,45000.0,2020-01-08
IS7qNtCS8XWmmpi,100,1.0,43000.0,0.0,0.0,1.0,1.0,43000.0,36000.0,2020-01-17
MJy5xrlFOoQD9PL,100,1.0,22000.0,0.0,0.0,1.0,1.0,22000.0,16000.0,2020-02-11
5wsMnZNYE16bBCX,300,18.0,1112150.0,0.0,0.0,2.0,3.6,61786.11,0.0,2020-06-23
0MGC5p5wUXlSD3G,100,1.0,26000.0,0.0,0.0,1.0,1.0,26000.0,0.0,2020-02-08
TuAn77tF2BfsxR2,100,1.0,24500.0,0.0,0.0,1.0,1.0,24500.0,17000.0,2020-01-05
DBdlLrJXIHiuowx,300,5.0,199700.0,-1000.0,0.0,1.0,1.25,39940.0,13880.0,2020-06-14
bAV05b0uROypnNd,100,1.0,28500.0,0.0,0.0,1.0,1.0,28500.0,12000.0,2020-04-20
KIEpxpmjQePwSAM,100,1.0,26500.0,0.0,0.0,1.0,1.0,26500.0,19000.0,2020-02-12
uEujqEKEKCDlPBL,100,1.0,16500.0,0.0,0.0,1.0,1.0,16500.0,0.0,2020-01-23
XIdKs0zJAYtpT3k,100,1.0,41000.0,0.0,0.0,1.0,1.0,41000.0,33000.0,2020-02-24
ml66qArDMkHdbvh,100,1.0,46500.0,0.0,0.0,1.0,1.0,46500.0,43000.0,2020-02-08
uLUVslyrNLl23TK,100,1.0,6500.0,0.0,0.0,1.0,1.0,6500.0,0.0,2020-04-17
2WT2PCrF4DAn9UL,100,1.0,42500.0,0.0,0.0,1.0,1.0,42500.0,36000.0,2020-02-12
