vendor_id,if_affiliation,joined_date,bookmark_cnt,item_cnt,base_shipping_fee,commission_rate
19sJIV53qJApk91,True,2019-10-23,74,126,2000.0,0.22
UChsuoA4cPkm4Uj,True,2019-10-27,1592,114,1600.0,0.25
CJ8MPRrVm66EPmG,False,2016-11-19,96,10,1600.0,0.04
svRpN9sEzk8r7Ws,True,2019-05-16,329,20,1900.0,0.11
refHs4aaigBf2DN,True,2019-03-17,1664,48,1300.0,0.08
OJlSLd5NNwiDM4i,True,2019-09-18,409,82,1800.0,0.08
39J0JFe9lhPNqbS,False,2015-03-20,627,131,1900.0,0.06
WBkquytwrqNGCvY,False,2015-08-31,1946,35,2300.0,0.19
oTkZbNlVTd872vB,True,2019-09-15,272,170,1500.0,0.23
xw7cpEHrYvMtZXL,True,2016-04-19,1052,6,1900.0,0.17
cNP9z5D9Sipjvyp,False,2015-03-18,434,170,2500.0,0.29
d4Nv7BOjqaV3ZNk,True,2019-10-06,20,40,2500.0,0.11
N2zzNXnBLBnESFs,False,2016-10-06,603,248,2800.0,0.47
cN16Vwexka0We8V,False,2016-09-27,736,97,1400.0,0.06
NuxsW9WDR98kow4,False,2015-05-21,896,138,2400.0,0.15
U23NK497UnMo7s6,True,2019-10-24,2492,92,3200.0,0.37
4T5MiVTz3O6NqQh,True,2019-06-01,761,14,1900.0,0.13
eJ0T7jO8DuzK9A1,False,2015-03-28,479,272,3300.0,0.53
N4vnTksAUmfpMip,False,2014-06-10,1740,65,2000.0,0.11
y8bo9MSiu7VUh3f,False,2015-05-22,931,7,2100.0,0.33
XGCegZ86j6idMYM,False,2017-02-07,1756,94,2700.0,0.19
ZuGIBoidY88RQnp,False,2015-04-27,2138,50,2400.0,0.3
5zIcEBhICfzCSIO,True,2019-05-19,520,3,1900.0,0.09
sGEymxmJGm1jjFz,True,2019-08-22,1274,59,1600.0,0.1
91anfXhGmPHGmC1,True,2016-03-25,750,38,2300.0,0.25
4kDuJLDM57Bm9ur,True,2019-08-14,1769,24,2200.0,0.43
